Cues	Outcomes
=q=_=q=_word_aboutness	ness
vq=_vq=_word_achievability	ity
sh=n_sh=n_word_additionality	ity
di=_di=_word_additivity	ity
sq=_sq=_word_addressability	ity
bq=_bq=_word_adsorbability	ity
zorp_zorp_word_adsorptivity	ity
la=_la=_word_aeroelasticity	ity
fekt_fekt_word_affectlessness	ness
dq=_dq=_word_affordability	ity
fri=_fri=_word_Africanity	ity
=q=_=q=_word_againstness	ness
dzhqn_dzhqn_word_agentivity	ity
gq=_gq=_word_aggregability	ity
gre=_gre=_word_aggressivity	ity
wur=_wur=_word_airworthiness	ness
li=_li=_word_alienness	ness
dzhe=_dzhe=_word_allergenicity	ity
=i=_=i=_word_alloimmunity	ity
dzhi=_dzhi=_word_alogicality	ity
zq=_zq=_word_analysability	ity
li=_li=_word_analyticity	ity
rq=_rq=_word_answerability	ity
ri=_ri=_word_arboreality	ity
===_===_bound_arity	ity
ma=_ma=_word_aromaticity	ity
=ay=_=ay=_word_Asianness	ness
=az_=az_phrase_as-suchness	ness
li=_li=_word_Australianness	ness
vq=_vq=_word_averageness	ness
way=_way=_word_awakedness	ness
rq=_rq=_word_bearability	ity
bi=_bi=_word_beyondness	ness
byu=_byu=_word_bibulosity	ity
dq=_dq=_word_biddability	ity
ling_ling_word_bilinguality	ity
moh=_moh=_word_bimodality	ity
dq=_dq=_word_biodegradability	ity
lek_lek_word_bioelectricity	ity
dzhe=_dzhe=_word_biogenicity	ity
toh=_toh=_word_bitonality	ity
bloh=_bloh=_word_blokeishness	ness
blur=_blur=_word_blurriness	ness
boh=_boh=_word_bogusness	ness
thq=_thq=_word_breathability	ity
bul_bul_word_bulbosity	ity
ka=_ka=_word_cattiness	ness
fyoo=_fyoo=_word_centrifugality	ity
si=_si=_word_chemosensitivity	ity
klor=_klor=_word_chlorinity	ity
klahs_klahs_word_classlessness	ness
kloh=_kloh=_word_clonality	ity
bq=_bq=_word_clubbableness	ness
dq=_dq=_word_codability	ity
gq=_gq=_word_colligability	ity
kq=_kq=_word_collocability	ity
bq=_bq=_word_combativity	ity
tay=_tay=_word_commutativeness	ness
tq=_tq=_word_commutativity	ity
tq=_tq=_word_complementarity	ity
pul_pul_word_compulsiveness	ness
rqd_rqd_word_comradeliness	ness
mq=_mq=_word_confirmability	ity
lq=_lq=_word_congealability	ity
dzhungk_dzhungk_word_conjunctiveness	ness
tq=_tq=_word_connectibility	ity
mi=_mi=_word_conterminousness	ness
lq=_lq=_word_controllability	ity
kor=_kor=_word_corniness	ness
kra=_kra=_word_crackedness	ness
wur=_wur=_word_crashworthiness	ness
ku=_ku=_word_cuppiness	ness
tok_tok_word_cytotoxicity	ity
===_===_word_dabbity	ity
da=_da=_word_dashingness	ness
day=_day=_word_datedness	ness
def_def_word_deafblindness	ness
dq=_dq=_word_decidability	ity
